producto,categoria,cantidad,precio,producto_bd,score
Jabonera JR17 Ref60017,Accesorio baño,3,"34,83 €",Jabonera  Medi 60018,71.79
Jabonera JR22 Ref60022-09 oro rosa,Accesorio baño,1,"56.222,00 €",JABONERA PARA GRIFERÍA ORO ROSA CEPILLADO,54.79
Esquinera oro Ref60870,Accesorio baño,1,"30,46 €",Esquinera doble Arcoban Ref.D00,68.09
Jabonera Ref60024,Accesorio baño,1,"34,83 €",Jabonera  Medi 60018,70.59
Escobillero solo Rollos Ref4317,Accesorio baño,1,"17,00 €",Escobillero Cromados,66.67
Jabonera Ref60020,Accesorio baño,2,"34,83 €",Jabonera  Medi 60018,70.59
Limpia mamparas,Limpieza,2,"15,00 €",Limpia Mamparas Ref.60731,81.08
Escobillero silicona,Accesorio baño,2,"12,00 €",Escobillero serie Luna,81.08
Espejo pared 5 aumentos,Espejo,1,,ESPEJO LED D80 ELCHE CCT ANT,54.9
Espejo pared rectangular 3 aumentos,Espejo,1,,ESPEJO LED D80 ELCHE CCT ANT,50.79
Toallero mueble Ref500701,Accesorio baño,1,"16,39 €",Toallero mueble CO2,78.05
Toallero mueble C02,Accesorio baño,7,"16,39 €",Toallero mueble CO2,94.74
Toallero Sensa 50 cm C02,Accesorio baño,1,"33,11 €",Toallero 50cm SENSA,71.79
Toallero Sensa 40 cm,Accesorio baño,1,"33,11 €",Toallero 50cm SENSA,82.35
Portarrollos pie redondo,Accesorio baño,4,"9,84 €",Portarollos Serie Luna,68.29
Portarrollos pie cuadrado,Accesorio baño,1,"9,84 €",Portarollos Serie Luna,71.43
Portarrollos económico pie recto,Accesorio baño,1,"31,20 €",Portarrollos c/tapa TAU,57.14
Esquinera GME,Accesorio baño,3,"25,20 €",Esquinera JR22 MEDI,75
Jabonera barra GME,Accesorio baño,5,"11,60 €",Jabonera AMA 02 serie Amadeus CM,66.67
Jabonera Luna Mediterránea,Accesorio baño,3,"7,60 €",Soportes Jabonera Mediterránea,75.86
Anilla Luna Mediterránea,Accesorio baño,2,"2,90 €",adhesivo Mediterránea,68.09
1/2 barra Paladio Que Baño,Accesibilidad,1,"64,36 €",BARRA SEMI PALADIO,57.78
Toallero hotel negro cromados modernos,Accesorio baño,1,"30,29 €",TOALLERO LATERAL ORO CEPILLADO,57.14
Sion cromo bañera,Grifería,1,"52,00 €",Grifo de bañera Lile,64.71
Sion cromo lavabo,Grifería,2,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,66.67
Rhio cromo lavabo,Grifería,2,"115,00 €",Grifo lavabo GROHE,66.67
Mio cromo lavabo,Grifería,2,,MDO. LAVABO ALPHA NEGRO,64.29
Marriot cromo lavabo,Grifería,2,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,61.11
Orion cromo lavabo,Grifería,2,"115,00 €",Grifo lavabo GROHE,64.52
Jony cromo lavabo,Grifería,2,"3,66 €",Tapón Lavabo,64
Cassio cromo lavabo,Grifería,1,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,80
Cassio cromo blanco lavabo,Grifería,2,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,77.78
Cassio blanco lavabo,Grifería,1,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,80
